NEWS TITLE,NEWS TEXT,DATETIME,URL
RBI changes accounting year to July 2020-Mar 2021 to match Centres fiscal year in FY22 - Republic World,Matching the RBI's accounting year with the Centre's fiscal year| the Central bank - Reserve Bank of India (RBI) decided to cut short its next accounting year.,2020-03-23T17:39:34Z,./articles/CAIiEMStbJi-HWLGdg5VFFwidiAqGQgEKhAIACoHCAowwZKRCzDO1KUDMMaStwY?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus impact: Suspend HD videos| COAI tells Netflix| Hotstar| other OTTs,Netflix| Facebook| Disney| Amazon and YouTube have also committed to lowering bit rates in Europe.,2020-03-23T14:02:23Z,./articles/CAIiEPYsk-GknGXV2PX2BIBHOTcqGQgEKhAIACoHCAowlbCPCzCrzaIDMJXXrgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus impact | Government raises cap on excise duty on petrol and diesel,The government has increased the cap on special additional excise duty on petrol and diesel by Rs 18 and Rs 12 per litre| according to amendments passed in ...,2020-03-24T07:58:00Z,./articles/CAIiEAau9agYXE2TwboKXn22SCIqGQgEKhAIACoHCAowlbCPCzCrzaIDMLbgrgY?hl=en-IN&gl=IN&ceid=IN%3Aen
ANMI seeks market shut down for 2 days as states refrain to call brokering 'essential',NEW DELHI: ANMI| an association representing nearly 900 brokerages| has submitted a letter to the market regulator Sebi urging it to close stock exchanges for ...,2020-03-24T08:13:00Z,./articles/CBMipgFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9hbm1pLXNlZWtzLW1hcmtldC1zaHV0LWRvd24tZm9yLTItZGF5cy1hcy1zdGF0ZXMtcmVmcmFpbi10by1jYWxsLWJyb2tlcmluZy1lc3NlbnRpYWwvYXJ0aWNsZXNob3cvNzQ3ODc2ODIuY21z0gGhAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9uZXdzL2FubWktc2Vla3MtbWFya2V0LXNodXQtZG93bi1mb3ItMi1kYXlzLWFzLXN0YXRlcy1yZWZyYWluLXRvLWNhbGwtYnJva2VyaW5nLWVzc2VudGlhbC9hbXBfYXJ0aWNsZXNob3cvNzQ3ODc2ODIuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
HUL zooms 10% after announcing acquisition of Vwash from Glenmark,Shares of Hindustan Unilever (HUL) surged 10 per cent to Rs 2|059.80 on the BSE on Tuesday after the consumer goods major announced the acquisition of ...,2020-03-24T05:26:06Z,./articles/CAIiEGg3Kt4IEe1iuNYyZArM75UqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?hl=en-IN&gl=IN&ceid=IN%3Aen
This recession will surely be as bad as 2008 global financial crisis| if not worse: IMF,Washington: The International Monetary Fund said it expects a global recession this year that will be at least as severe as the downturn during the financial crisis ...,2020-03-24T04:16:00Z,./articles/CBMieWh0dHBzOi8vdGhlcHJpbnQuaW4vZWNvbm9teS90aGlzLXJlY2Vzc2lvbi13aWxsLXN1cmVseS1iZS1hcy1iYWQtYXMtMjAwOC1nbG9iYWwtZmluYW5jaWFsLWNyaXNpcy1pZi1ub3Qtd29yc2UtaW1mLzM4NjgyOS_SAX1odHRwczovL3RoZXByaW50LmluL2Vjb25vbXkvdGhpcy1yZWNlc3Npb24td2lsbC1zdXJlbHktYmUtYXMtYmFkLWFzLTIwMDgtZ2xvYmFsLWZpbmFuY2lhbC1jcmlzaXMtaWYtbm90LXdvcnNlLWltZi8zODY4MjkvP2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen
Indias e-commerce sector comes to halt due to lockdowns,The Indian e-commerce sector has come to a halt across the country including the supply of essential commodities due to various lockdowns to prevent the ...,2020-03-23T19:12:28Z,./articles/CAIiEAkJmCwNGrlF4eiQ7JVBuvQqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?hl=en-IN&gl=IN&ceid=IN%3Aen
Hyundai Creta vs MG Hector: Which SUV To Buy?,The Creta is the latest SUV creating a buzz in the market but how do its variants stack up against those of the MG Hector?,2020-03-24T08:03:00Z,./articles/CBMiXWh0dHBzOi8vd3d3LmNhcmRla2hvLmNvbS9pbmRpYS1jYXItbmV3cy9oeXVuZGFpLWNyZXRhLXZzLW1nLWhlY3Rvci13aGljaC1zdXYtdG8tYnV5LTI1MzEyLmh0bdIBY2h0dHBzOi8vd3d3LmNhcmRla2hvLmNvbS9pbmRpYS1jYXItbmV3cy9oeXVuZGFpLWNyZXRhLXZzLW1nLWhlY3Rvci13aGljaC1zdXYtdG8tYnV5LTI1MzEyLmh0bT9hbXA9MQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Tesla CEO Elon Musk increases support of US Hospitals in coronavirus fight,SpaceX and Tesla CEO Elon Musk is continuing in his efforts to help fight the spread of the coronavirus| recently delivering masks to US Hospitals that have ...,2020-03-23T20:25:15Z,./articles/CBMiSGh0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtZWxvbi1tdXNrLWNvcm9uYXZpcnVzLW1hc2tzLXZlbnRpbGF0b3JzL9IBTGh0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtZWxvbi1tdXNrLWNvcm9uYXZpcnVzLW1hc2tzLXZlbnRpbGF0b3JzL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen
IndusInd Bank appoints Sumant Kathpalia as Managing Director and CEO,IndusInd Bank has appointed Sumant Kathpalia as the Managing Director and CEO with effect from Tuesday for a period of three years. The appointment was ...,2020-03-24T06:18:37Z,./articles/CAIiELx_wNmvyIfQHKbB2zeaKasqGQgEKhAIACoHCAowsLXdCjCm3dEBMMPjpAM?hl=en-IN&gl=IN&ceid=IN%3Aen
BS6 Mahindra Bolero facelift priced from Rs 7.98 lakh,Updated Bolero priced the same as the BS4 version; it gets *fresh* styling| a BS6 diesel engine| and complies with crash-test and pedestrian safety norms as well.,2020-03-24T05:50:00Z,./articles/CBMiYWh0dHBzOi8vd3d3LmF1dG9jYXJpbmRpYS5jb20vY2FyLW5ld3MvYnM2LW1haGluZHJhLWJvbGVyby1mYWNlbGlmdC1wcmljZWQtZnJvbS1ycy03OTgtbGFraC00MTY2MjnSAWVodHRwczovL3d3dy5hdXRvY2FyaW5kaWEuY29tL2Nhci1uZXdzLWFtcC9iczYtbWFoaW5kcmEtYm9sZXJvLWZhY2VsaWZ0LXByaWNlZC1mcm9tLXJzLTc5OC1sYWtoLTQxNjYyOQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Fact Check: Image of Covid-19 testing kit passed off as vaccine on social media,If some social media users are to be believed| American scientists have already developed a cure for Covid-19. India Today Anti Fake News War Room (AFWA) ...,2020-03-23T10:03:08Z,./articles/CBMiaWh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vZmFjdC1jaGVjay9zdG9yeS9jb3ZpZC0xOS10ZXN0aW5nLWtpdC1mYWN0LWNoZWNrLWNvcm9uYXZpcnVzLTE2NTg3NTAtMjAyMC0wMy0yM9IBbWh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vYW1wL2ZhY3QtY2hlY2svc3RvcnkvY292aWQtMTktdGVzdGluZy1raXQtZmFjdC1jaGVjay1jb3JvbmF2aXJ1cy0xNjU4NzUwLTIwMjAtMDMtMjM?hl=en-IN&gl=IN&ceid=IN%3Aen
Maruti Suzuki temporarily shuts production at Gujarat plant,NEW DELHI : Maruti Suzuki India (MSI) on Monday said Suzuki Motor Gujarat (MSG) has suspended production at its Gujarat-based plant to check the spread of ...,2020-03-23T14:27:09Z,./articles/CBMid2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvbmV3cy9tYXJ1dGktc3V6dWtpLXRlbXBvcmFyaWx5LXNodXRzLXByb2R1Y3Rpb24tYXQtZ3VqYXJhdC1wbGFudC0xMTU4NDk3MTQwMTI5NS5odG1s0gF7aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9uZXdzL21hcnV0aS1zdXp1a2ktdGVtcG9yYXJpbHktc2h1dHMtcHJvZHVjdGlvbi1hdC1ndWphcmF0LXBsYW50L2FtcC0xMTU4NDk3MTQwMTI5NS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
Amazon gives part-time warehouse workers paid time off after a group of them fought for it,It comes as legislators and workers have called out Amazon for failing to provide paid leave.,2020-03-23T23:36:55Z,./articles/CAIiEJmvybEmw9CBxiIrgWZUAm4qGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus outbreak: Sebi eases compliance requirements for brokers| mutual funds,New Delhi: In a bid to reduce compliance burden on market participants| Sebi on Monday provided various relaxations to stock brokers and mutual fund houses| ...,2020-03-23T16:15:54Z,./articles/CAIiEIIJkByqzCNh_x9L2FO7HdYqGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
IBM supercomputers to be used in the global fight against Covid-19,IBM on Sunday announced a partnership with the US' White House Office of Science and Technology Policy and the Department of Energy to form a consortium ...,2020-03-23T07:07:00Z,./articles/CAIiEO0cHicoq_hUTHqZbq_paeUqFggEKg4IACoGCAoww7k_MMevCDCm4QE?hl=en-IN&gl=IN&ceid=IN%3Aen
Hyundai Motors to suspend production at its Chennai plant from Monday,Hyundai Motor India will suspend vehicle production at its Chennai facility from Monday till further notice as a measure to stop the spread of coronavirus| the ...,2020-03-23T08:09:29Z,./articles/CAIiEDLIX0AKlYv9YlliHs4VSuYqGQgEKhAIACoHCAow7pf_CjDdlfgCMP2F6gU?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus outbreak: Stock exchanges activate disaster recovery sites,Read more about Coronavirus outbreak: Stock exchanges activate disaster recovery sites on Business-standard. The move is in line with the Securities and ...,2020-03-23T20:12:26Z,./articles/CAIiECMe8tdms1PHqK9JkR1ESTIqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?hl=en-IN&gl=IN&ceid=IN%3Aen
BigBasket app| site crashes amid surge in demand,New Delhi: Website and mobile app of online grocery seller BigBasket on Monday faced breakdown due to surge in demand amid the coronavirus outbreak.,2020-03-24T07:30:00Z,./articles/CAIiEKlcAZzmbbf1K1a2CP4B-rwqGQgEKhAIACoHCAow1_CFCzDqpIMDMNuOiQY?hl=en-IN&gl=IN&ceid=IN%3Aen
[Global Insight] Why are stocks| oil prices continuing to crash?,Russia opted for an approach based on uncertainty in its decision to leave the OPEC-plus deal| but is it punching above its weight?,2020-03-24T00:33:08Z,./articles/CCAiC2dhOXIwMHpZY21ZmAEB?hl=en-IN&gl=IN&ceid=IN%3Aen
Visit Bank Only If Absolute Necessity| Urges IBA,With the impact of Coronavirus being felt across the country the Indian Banks' Association (IBA) has urged everyone| to visit the branch premise only in case of ...,2020-03-24T08:34:54Z,./articles/CBMiW2h0dHBzOi8vd3d3Lm1vbmV5bGlmZS5pbi9hcnRpY2xlL3Zpc2l0LWJhbmstb25seS1pZi1hYnNvbHV0ZS1uZWNlc3NpdHktdXJnZXMtaWJhLzU5ODE1Lmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus impact | Moody’s Analytics cautions about millions of job losses in coming weeks,Things will get worse| indicates the latest report by Moody's Analytics on the economic shock of the global coronavirus (COVID-19) pandemic. “Millions of job ...,2020-03-24T09:58:38Z,./articles/CAIiEI_3odduAE5VF06kDU4aAaAqGQgEKhAIACoHCAowlbCPCzCrzaIDMLL1zQY?hl=en-IN&gl=IN&ceid=IN%3Aen
Board Meetings Today: Sterlite Tech| Kalpataru Power and Suzlon Energy,It makes sense to have a look at the corporate agendas for the days as announced to the stock exchanges.,2020-03-24T03:31:30Z,./articles/CAIiEPxJVWlGMsXG-Cpk0GLd7FgqGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
Masa Son unveils a $41 billion asset sale to silence his critics,Son is trying to salvage his reputation as one of the worlds foremost tech investors| a name based largely on a prescient early bet on Alibaba| which grew to ...,2020-03-24T03:37:04Z,./articles/CAIiEPbMTAZizh2kHm83UOwxHY4qGQgEKhAIACoHCAow2pqGCzD954MDMNCRmgY?hl=en-IN&gl=IN&ceid=IN%3Aen
How to Look Better in Your Next Zoom Meeting,Physical distancing means a lot of us have started to have virtual meetings or even virtual Happy Hours over Zoom.,2020-03-23T21:06:29Z,./articles/CAIiEB88OHIZf5-vILkiDFbwFvQqFQgEKg0IACoGCAowxIECMOBMMMOpHg?hl=en-IN&gl=IN&ceid=IN%3Aen
Jawa Perak deliveries delayed indefinitely| sales won’t begin on 2 April,The deliveries of the Jawa Perak have been indefinitely delayed and its sales won't begin on 2 April 2020 as promised due to the COVID-19 pandemic.,2020-03-24T05:00:12Z,./articles/CBMiQWh0dHBzOi8vaW5kaWFuYXV0b3NibG9nLmNvbS9qYXdhLXBlcmFrLWRlbGl2ZXJpZXMtZGVsYXllZC1wMzIwMTEz0gFHaHR0cHM6Ly9tLmluZGlhbmF1dG9zYmxvZy5jb20vamF3YS1wZXJhay1kZWxpdmVyaWVzLWRlbGF5ZWQtcDMyMDExMy9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
Reliance Jio launches Rs 251 work from home recharge plan,Reliance Jio has a new recharge plan for those working from home. This recharge plan comes with data benefits as users will be needing it even more now.,2020-03-24T05:27:00Z,./articles/CAIiEGe6H0TH8uBbAjhfh-wxWiYqFggEKg4IACoGCAoww7k_MMevCDCm4QE?hl=en-IN&gl=IN&ceid=IN%3Aen
Geely Goes Full Touchless Delivering New Car Keys By Drone,As the COVID-19 pandemic rips across the world| it's leaving businesses and entire economies in tatters. China's auto industry saw its sales drop by 79 percent ...,2020-03-23T18:29:09Z,./articles/CCAiC0J3VTRuUF9SOTFvmAEB?hl=en-IN&gl=IN&ceid=IN%3Aen
Newly approved novel coronavirus test gives results in 45 minutes,The test runs on the biotechnology company Cepheid's system. There are around 5000 of the systems in hospitals in the US. The United States needs to ramp ...,2020-03-23T20:06:38Z,./articles/CAIiEMUa3VkjPcWqbEbmHTNUmCsqFwgEKg4IACoGCAow3O8nMMqOBjCJxNQD?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus impact: Banks revise branch timings| push use of digital transactions,With strict curfews and lock downs imposed across the country to curb the spread of the coronavirus| banks are taking steps of their own to ensure safety of their ...,2020-03-24T05:19:00Z,./articles/CBMipwFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vd2VhbHRoL3BlcnNvbmFsLWZpbmFuY2UtbmV3cy9jb3JvbmF2aXJ1cy1pbXBhY3QtaGVyZS1hcmUtbGF0ZXN0LWJyYW5jaC10aW1pbmdzLWZvci1mZWRlcmFsLWJhbmstaGRmYy1iYW5rL2FydGljbGVzaG93Lzc0Nzc3NDQzLmNtc9IBogFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vd2VhbHRoL3BlcnNvbmFsLWZpbmFuY2UtbmV3cy9jb3JvbmF2aXJ1cy1pbXBhY3QtaGVyZS1hcmUtbGF0ZXN0LWJyYW5jaC10aW1pbmdzLWZvci1mZWRlcmFsLWJhbmstaGRmYy1iYW5rL2FtcF9hcnRpY2xlc2hvdy83NDc3NzQ0My5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
Samsung| OPPO| Vivo temporarily suspend smartphone production in India due to COVID-19,Due to COVID-19| Samsung has shut its smartphones and electronics factories in India while Vivo and OPPO have also halted smartphone production ...,2020-03-23T15:49:56Z,./articles/CAIiEA--yAN_cgJmE0mjLWBklngqGAgEKg8IACoHCAowp_LsCTCAxCYw5_WvAQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Indian crypto trading platform banks $3m from Bain| Polychain| others,CoinDCX will use the *fresh* capital to add new capabilities to its platform and increase crypto adoption in India.,2020-03-24T01:00:00Z,./articles/CBMiK2h0dHBzOi8vd3d3LnRlY2hpbmFzaWEuY29tL2NvaW5kY3gtYmFua3MtM23SATBodHRwczovL3d3dy50ZWNoaW5hc2lhLmNvbS9jb2luZGN4LWJhbmtzLTNtL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus: Anand Mahindra donates full salary to set up fund,Mahindra Group chairman Anand Mahindra took to Twitter to offer help to the government| in a bid to strengthen the efforts to combat the novel coronavirus| ...,2020-03-23T09:13:43Z,./articles/CBMie2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvcGVvcGxlL2Nvcm9uYXZpcnVzLWFuYW5kLW1haGluZHJhLWRvbmF0ZXMtZnVsbC1zYWxhcnktdG8tc2V0LXVwLWZ1bmQtMTE1ODQ5NTI5MjQzMzEuaHRtbNIBf2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvcGVvcGxlL2Nvcm9uYXZpcnVzLWFuYW5kLW1haGluZHJhLWRvbmF0ZXMtZnVsbC1zYWxhcnktdG8tc2V0LXVwLWZ1bmQvYW1wLTExNTg0OTUyOTI0MzMxLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
Will Gold (and Maybe Bitcoin) Have Their Turning Point Like In 2008?,The outbreak of the novel coronavirus caused a massive sell-off in traditional markets. However| cryptocurrencies also declined notably| causing many to.,2020-03-23T10:11:58Z,./articles/CBMiVWh0dHBzOi8vY3J5cHRvcG90YXRvLmNvbS93aWxsLWdvbGQtYW5kLWJpdGNvaW4taGF2ZS10aGVpci10dXJuaW5nLXBvaW50LWxpa2UtaW4tMjAwOC_SAVlodHRwczovL2NyeXB0b3BvdGF0by5jb20vd2lsbC1nb2xkLWFuZC1iaXRjb2luLWhhdmUtdGhlaXItdHVybmluZy1wb2ludC1saWtlLWluLTIwMDgvP2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen
Coronavirus impact: Dine-in facilities suspended across all Domino's outlets,India's largest pizza chain| Domino's| operated by Jubilant FoodWorks Ltd| on Monday suspended dine-in facility at its restaurants across the country to control ...,2020-03-24T03:29:35Z,./articles/CBMihwFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvY29yb25hdmlydXMtaW1wYWN0LWRpbmUtaW4tZmFjaWxpdGllcy1zdXNwZW5kZWQtYWNyb3NzLWFsbC1kb21pbm8tcy1vdXRsZXRzLTExNTg1MDIwMjE0Mzc5Lmh0bWzSAYsBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9uZXdzL2Nvcm9uYXZpcnVzLWltcGFjdC1kaW5lLWluLWZhY2lsaXRpZXMtc3VzcGVuZGVkLWFjcm9zcy1hbGwtZG9taW5vLXMtb3V0bGV0cy9hbXAtMTE1ODUwMjAyMTQzNzkuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
Hyundai Creta vs Tata Harrier: Which SUV To Buy?,Where the Creta is available with both petrol and diesel engines| the Harrier is a diesel-only offering.,2020-03-23T02:30:00Z,./articles/CBMiYGh0dHBzOi8vd3d3LmNhcmRla2hvLmNvbS9pbmRpYS1jYXItbmV3cy9oeXVuZGFpLWNyZXRhLXZzLXRhdGEtaGFycmllci13aGljaC1zdXYtdG8tYnV5LTI1MzA2Lmh0bdIBZmh0dHBzOi8vd3d3LmNhcmRla2hvLmNvbS9pbmRpYS1jYXItbmV3cy9oeXVuZGFpLWNyZXRhLXZzLXRhdGEtaGFycmllci13aGljaC1zdXYtdG8tYnV5LTI1MzA2Lmh0bT9hbXA9MQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Safest stocks to buy amid coronavirus-led market sell-off,New Delhi: In the ongoing market sell-off led by fears over the economic impact of coronavirus outbreak| utilities have outperformed benchmark indices. During ...,2020-03-24T08:22:48Z,./articles/CAIiECh3X6dJFVATyYrEGIrylvEqGQgEKhAIACoHCAowr6n9CjCr4PQCMOTdpQY?hl=en-IN&gl=IN&ceid=IN%3Aen
UAE halts all flights| Saudi Arabia imposes curfew,Dubai/Riyadh: The United Arab Emirates (UAE) and Saudi Arabia on Monday imposed more restrictions on flights and citizens activities in a bid to curb the.,2020-03-23T12:03:42Z,./articles/CAIiEAeR_488xGZSpZGqWMPiAokqGQgEKhAIACoHCAow1_CFCzDqpIMDMNuOiQY?hl=en-IN&gl=IN&ceid=IN%3Aen
